Date,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
11/9/2016,21600112,Final,1610612760,1610612761,2016,1610612760,102,0.419,0.903,0.353,18,39,1610612761,112,0.518,0.682,0.423,25,35,0
11/9/2016,21600110,Final,1610612754,1610612755,2016,1610612754,122,0.544,0.75,0.474,25,43,1610612755,115,0.484,0.474,0.389,23,43,1
11/9/2016,21600109,Final,1610612753,1610612750,2016,1610612753,107,0.447,0.767,0.333,20,39,1610612750,123,0.517,0.769,0.565,27,45,0
11/10/2016,21600118,Final,1610612748,1610612741,2016,1610612748,95,0.409,0.667,0.448,22,46,1610612741,98,0.416,0.9,0.375,18,48,0
11/10/2016,21600120,Final,1610612758,1610612747,2016,1610612758,91,0.4,0.75,0.381,18,43,1610612747,101,0.514,0.727,0.333,18,42,0
11/10/2016,21600117,Final,1610612749,1610612740,2016,1610612749,106,0.44,0.8,0.333,23,48,1610612740,112,0.438,0.926,0.36,22,47,0
11/10/2016,21600119,Final,1610612743,1610612744,2016,1610612743,101,0.404,0.706,0.361,26,44,1610612744,125,0.541,0.95,0.467,33,44,0
11/11/2016,21600127,Final,1610612759,1610612765,2016,1610612759,96,0.444,0.789,0.45,24,45,1610612765,86,0.421,0.81,0.2,14,42,1
11/11/2016,21600124,Final,1610612753,1610612762,2016,1610612753,74,0.333,0.737,0.4,13,43,1610612762,87,0.407,0.875,0.25,19,52,0
11/11/2016,21600125,Final,1610612738,1610612752,2016,1610612738,115,0.389,0.791,0.407,23,53,1610612752,87,0.351,0.882,0.261,19,57,1
11/11/2016,21600122,Final,1610612764,1610612739,2016,1610612764,94,0.437,0.789,0.2,16,46,1610612739,105,0.419,0.731,0.424,16,47,0
11/11/2016,21600121,Final,1610612755,1610612754,2016,1610612755,109,0.419,0.839,0.344,24,54,1610612754,105,0.443,0.957,0.263,23,40,1
11/11/2016,21600126,Final,1610612760,1610612746,2016,1610612760,108,0.432,0.842,0.571,21,45,1610612746,110,0.453,0.6,0.407,18,45,0
11/11/2016,21600123,Final,1610612766,1610612761,2016,1610612766,111,0.409,0.75,0.415,22,57,1610612761,113,0.478,0.955,0.273,18,45,0
11/11/2016,21600128,Final,1610612757,1610612758,2016,1610612757,122,0.523,0.704,0.394,29,36,1610612758,120,0.489,0.8,0.286,18,48,1
11/12/2016,21600133,Final,1610612741,1610612764,2016,1610612741,106,0.402,0.92,0.333,21,52,1610612764,95,0.418,0.833,0.308,19,49,1
